date,stock_id,type,value,origin_name,report,stock_name,industry
2020-03-31,6508,PreTaxIncome,120608000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-03-31,6508,TAX,31902000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2020-03-31,6508,IncomeFromContinuingOperations,88706000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-03-31,6508,IncomeAfterTaxes,88706000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-03-31,6508,TotalConsolidatedProfitForThePeriod,72498000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2020-03-31,6508,EPS,1.05,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2020-03-31,6508,Revenue,600501000.0,營業收入,IncomeStatement,惠光,農業科技業
2020-03-31,6508,CostOfGoodsSold,398912000.0,營業成本,IncomeStatement,惠光,農業科技業
2020-03-31,6508,GrossProfit,201589000.0,營業毛利（毛損）淨額,IncomeStatement,惠光,農業科技業
2020-03-31,6508,OperatingExpenses,85008000.0,營業費用,IncomeStatement,惠光,農業科技業
2020-03-31,6508,OTHNOE,1093000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2020-03-31,6508,OperatingIncome,117674000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2020-03-31,6508,TotalNonoperatingIncomeAndExpense,2934000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2020-03-31,6508,OtherComprehensiveIncome,-16208000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2020-03-31,6508,EquityAttributableToOwnersOfParent,88706000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2020-06-30,6508,PreTaxIncome,86012000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-06-30,6508,TAX,25318000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2020-06-30,6508,IncomeFromContinuingOperations,60694000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-06-30,6508,IncomeAfterTaxes,60694000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2020-06-30,6508,TotalConsolidatedProfitForThePeriod,54354000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2020-06-30,6508,EPS,0.71,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2020-06-30,6508,Revenue,542643000.0,營業收入,IncomeStatement,惠光,農業科技業
2020-06-30,6508,CostOfGoodsSold,377587000.0,營業成本,IncomeStatement,惠光,農業科技業
2020-06-30,6508,GrossProfit,165056000.0,營業毛利（毛損）淨額,IncomeStatement,惠光,農業科技業
